source,attack,dt_level,mal_nodes,method,seed,clean_f1,polluted_f1,delta_f1,w_mal
base_compare,label_flip,D0,0,median,0,0.7728200809728095,0.7713858846246026,0.001434196348206962,0.0
base_compare,label_flip,D0,0,median,1,0.7491982278334285,0.7628290368052894,-0.013630808971860864,0.0
base_compare,label_flip,D0,0,median,2,0.7676572027609476,0.770147417708184,-0.0024902149472363355,0.0
base_compare,label_flip,D0,0,median,3,0.7626190849014483,0.7696367300251079,-0.007017645123659655,0.0
base_compare,label_flip,D0,0,median,4,0.7655692739621655,0.7626864004175034,0.0028828735446621012,0.0
base_compare,label_flip,D0,0,weighted,0,0.772917646352838,0.7747192617625112,-0.001801615409673163,0.0
base_compare,label_flip,D0,0,weighted,1,0.7455698394894094,0.7605581737368641,-0.014988334247454715,0.0
base_compare,label_flip,D0,0,weighted,2,0.7630701200247785,0.7669426710007763,-0.0038725509759978127,0.0
base_compare,label_flip,D0,0,weighted,3,0.7585739690645598,0.7648943989891814,-0.006320429924621673,0.0
base_compare,label_flip,D0,0,weighted,4,0.7630419938567531,0.7607929066678019,0.0022490871889512265,0.0
base_compare,label_flip,D0,3,median,0,0.7933289359768676,0.6591028781498243,0.13422605782704333,0.3
base_compare,label_flip,D0,3,median,1,0.7400131185718299,0.6260601946996238,0.11395292387220612,0.3
base_compare,label_flip,D0,3,median,2,0.7627319167707215,0.6318755441754216,0.13085637259529992,0.3
base_compare,label_flip,D0,3,median,3,0.7537453174074118,0.6372038530418146,0.1165414643655972,0.3
base_compare,label_flip,D0,3,median,4,0.7607598806383686,0.6310058360999056,0.12975404453846306,0.3
base_compare,label_flip,D0,3,weighted,0,0.7724114997630154,0.6383193953689588,0.1340921043940566,0.0416954632983306
base_compare,label_flip,D0,3,weighted,1,0.7354248623748534,0.625237806341874,0.1101870560329794,0.0646189143212896
base_compare,label_flip,D0,3,weighted,2,0.7617916968444074,0.6300191364735255,0.13177256037088192,0.0460214902688491
base_compare,label_flip,D0,3,weighted,3,0.7504431200588044,0.6278272674711792,0.1226158525876252,0.0366803660661371
base_compare,label_flip,D0,3,weighted,4,0.7608014925168938,0.6327773394826218,0.12802415303427195,0.0639133694267845
base_compare,label_flip,D0,5,median,0,0.3938571186150674,0.3599343675415355,0.033922751073531876,0.5
base_compare,label_flip,D0,5,median,1,0.2593821273064635,0.3046507859339964,-0.04526865862753293,0.5
base_compare,label_flip,D0,5,median,2,0.5289803867794387,0.5066801569037735,0.022300229875665156,0.5
base_compare,label_flip,D0,5,median,3,0.3938571186150674,0.3558024320670278,0.03805468654803962,0.5
base_compare,label_flip,D0,5,median,4,0.2593821273064635,0.3032959896084913,-0.04391386230202782,0.5
base_compare,label_flip,D0,5,weighted,0,0.7602672211010175,0.5734329104753297,0.18683431062568778,0.0799382218790396
base_compare,label_flip,D0,5,weighted,1,0.6949871939961859,0.5336954423416266,0.16129175165455933,0.2465725550207302
base_compare,label_flip,D0,5,weighted,2,0.7409840045593056,0.5591785175386332,0.18180548702067234,0.1545910201707139
base_compare,label_flip,D0,5,weighted,3,0.7370715087090929,0.5571791568715918,0.17989235183750107,0.07701911458025
base_compare,label_flip,D0,5,weighted,4,0.7511007180645255,0.5607449436557038,0.19035577440882168,0.0926917458445368
base_compare,stealth_amp,D0,0,median,0,0.7728200809728095,0.7713858846246026,0.001434196348206962,0.0
base_compare,stealth_amp,D0,0,median,1,0.7491982278334285,0.7628290368052894,-0.013630808971860864,0.0
base_compare,stealth_amp,D0,0,median,2,0.7676572027609476,0.770147417708184,-0.0024902149472363355,0.0
base_compare,stealth_amp,D0,0,median,3,0.7626190849014483,0.7696367300251079,-0.007017645123659655,0.0
base_compare,stealth_amp,D0,0,median,4,0.7655692739621655,0.7626864004175034,0.0028828735446621012,0.0
base_compare,stealth_amp,D0,0,weighted,0,0.772917646352838,0.7747192617625112,-0.001801615409673163,0.0
base_compare,stealth_amp,D0,0,weighted,1,0.7455698394894094,0.7605581737368641,-0.014988334247454715,0.0
base_compare,stealth_amp,D0,0,weighted,2,0.7630701200247785,0.7669426710007763,-0.0038725509759978127,0.0
base_compare,stealth_amp,D0,0,weighted,3,0.7585739690645598,0.7648943989891814,-0.006320429924621673,0.0
base_compare,stealth_amp,D0,0,weighted,4,0.7630419938567531,0.7607929066678019,0.0022490871889512265,0.0
base_compare,stealth_amp,D0,5,median,0,0.7889469602228201,0.7823132656461024,0.006633694576717697,0.5
base_compare,stealth_amp,D0,5,median,1,0.688564062047428,0.70073578128766,-0.01217171924023197,0.5
base_compare,stealth_amp,D0,5,median,2,0.6745016766985897,0.6888476985267189,-0.014346021828129163,0.5
base_compare,stealth_amp,D0,5,median,3,0.6754053113816146,0.6777300595656308,-0.0023247481840161788,0.5
base_compare,stealth_amp,D0,5,median,4,0.7387662255984012,0.734602640696517,0.004163584901884176,0.5
base_compare,stealth_amp,D0,5,weighted,0,0.770803483713912,0.7738970066671211,-0.0030935229532090824,3.0786138457128767e-10
base_compare,stealth_amp,D0,5,weighted,1,0.7613040333491645,0.7714303714095615,-0.010126338060396978,3.9570997916623165e-10
base_compare,stealth_amp,D0,5,weighted,2,0.7665216120942953,0.7721117982737579,-0.005590186179462608,3.7522794691688276e-10
base_compare,stealth_amp,D0,5,weighted,3,0.7589517334107521,0.7694714742180992,-0.010519740807347189,2.0541992730757588e-10
base_compare,stealth_amp,D0,5,weighted,4,0.7611162479696765,0.7586555818024208,0.0024606661672557095,4.639581154074088e-10
base_compare,dt_logit_scale,D0,0,median,0,0.7728200809728095,0.7713858846246026,0.001434196348206962,0.0
base_compare,dt_logit_scale,D0,0,median,1,0.7491982278334285,0.7628290368052894,-0.013630808971860864,0.0
base_compare,dt_logit_scale,D0,0,median,2,0.7676572027609476,0.770147417708184,-0.0024902149472363355,0.0
base_compare,dt_logit_scale,D0,0,median,3,0.7626190849014483,0.7696367300251079,-0.007017645123659655,0.0
base_compare,dt_logit_scale,D0,0,median,4,0.7655692739621655,0.7626864004175034,0.0028828735446621012,0.0
base_compare,dt_logit_scale,D0,0,weighted,0,0.772917646352838,0.7747192617625112,-0.001801615409673163,0.0
base_compare,dt_logit_scale,D0,0,weighted,1,0.7455698394894094,0.7605581737368641,-0.014988334247454715,0.0
base_compare,dt_logit_scale,D0,0,weighted,2,0.7630701200247785,0.7669426710007763,-0.0038725509759978127,0.0
base_compare,dt_logit_scale,D0,0,weighted,3,0.7585739690645598,0.7648943989891814,-0.006320429924621673,0.0
base_compare,dt_logit_scale,D0,0,weighted,4,0.7630419938567531,0.7607929066678019,0.0022490871889512265,0.0
base_compare,dt_logit_scale,D0,5,median,0,0.5944105455441764,0.5860719629856613,0.00833858255851505,0.5
base_compare,dt_logit_scale,D0,5,median,1,0.6887995373690803,0.6980013190009979,-0.00920178163191765,0.5
base_compare,dt_logit_scale,D0,5,median,2,0.6182985109957431,0.612834136033239,0.0054643749625040705,0.5
base_compare,dt_logit_scale,D0,5,median,3,0.6875628178614897,0.6773170429607889,0.010245774900700777,0.5
base_compare,dt_logit_scale,D0,5,median,4,0.6258051708016296,0.6235248746883882,0.00228029611324132,0.5
base_compare,dt_logit_scale,D0,5,weighted,0,0.7709681455803619,0.7758783494497234,-0.004910203869361585,0.0184662475559218
base_compare,dt_logit_scale,D0,5,weighted,1,0.7439834355334813,0.75640002649217,-0.012416590958688634,0.1012391701395253
base_compare,dt_logit_scale,D0,5,weighted,2,0.7948953268489654,0.793136314845436,0.0017590120035293477,0.1280939347409114
base_compare,dt_logit_scale,D0,5,weighted,3,0.738968765135076,0.7473101364072372,-0.008341371272161169,0.0978533294257489
base_compare,dt_logit_scale,D0,5,weighted,4,0.807181949293051,0.8091961299023895,-0.002014180609338556,0.1675061792783325
ablation,label_flip,D0,5,weighted,0,0.7602672211010175,0.5734329104753297,0.1868343106256877,0.0799382218790396
ablation,label_flip,D0,5,weighted,1,0.6949871939961859,0.5336954423416266,0.1612917516545593,0.2465725550207302
ablation,label_flip,D0,5,weighted,2,0.7409840045593056,0.5591785175386332,0.1818054870206723,0.1545910201707139
ablation,label_flip,D0,5,weighted,3,0.7370715087090929,0.5571791568715918,0.179892351837501,0.07701911458025
ablation,label_flip,D0,5,weighted,4,0.7511007180645255,0.5607449436557038,0.1903557744088216,0.0926917458445368
ablation,label_flip,D0,5,weighted_r4only,0,0.6703717050650395,0.5120481146287011,0.1583235904363383,0.1965524524217002
ablation,label_flip,D0,5,weighted_r4only,1,0.2579461256143772,0.3051347496432035,-0.0471886240288263,0.2451784980053424
ablation,label_flip,D0,5,weighted_r4only,2,0.7137254313202634,0.5380263337609716,0.1756990975592918,0.2361249478349166
ablation,label_flip,D0,5,weighted_r4only,3,0.5425942780667545,0.4451725558309158,0.0974217222358386,0.2095680804762762
ablation,label_flip,D0,5,weighted_r4only,4,0.4340796331036253,0.4521240187933741,-0.0180443856897488,0.2522354281059145
ablation,stealth_amp,D0,5,weighted,0,0.770803483713912,0.7738970066671211,-0.003093522953209,3.0786138457128767e-10
ablation,stealth_amp,D0,5,weighted,1,0.7613040333491645,0.7714303714095615,-0.0101263380603969,3.9570997916623165e-10
ablation,stealth_amp,D0,5,weighted,2,0.7665216120942953,0.7721117982737579,-0.0055901861794626,3.7522794691688276e-10
ablation,stealth_amp,D0,5,weighted,3,0.7589517334107521,0.7694714742180992,-0.0105197408073471,2.0541992730757588e-10
ablation,stealth_amp,D0,5,weighted,4,0.7611162479696765,0.7586555818024208,0.0024606661672557,4.639581154074088e-10
ablation,stealth_amp,D0,5,weighted_r4only,0,0.7734711546223101,0.7746073264174744,-0.0011361717951643,4.1160866852756235e-07
ablation,stealth_amp,D0,5,weighted_r4only,1,0.7631582786911175,0.7713483262886505,-0.0081900475975329,4.2688291738798796e-07
ablation,stealth_amp,D0,5,weighted_r4only,2,0.7676692939195311,0.771699381161933,-0.0040300872424019,5.024740413701567e-07
ablation,stealth_amp,D0,5,weighted_r4only,3,0.7642711014315706,0.7720415825975576,-0.0077704811659869,2.0173313273112774e-07
ablation,stealth_amp,D0,5,weighted_r4only,4,0.759631407794247,0.7584303500941221,0.0012010577001249,7.489772492308824e-07
ablation,dt_logit_scale,D0,5,weighted,0,0.7709681455803619,0.7758783494497234,-0.0049102038693615,0.0184662475559218
ablation,dt_logit_scale,D0,5,weighted,1,0.7439834355334813,0.75640002649217,-0.0124165909586886,0.1012391701395253
ablation,dt_logit_scale,D0,5,weighted,2,0.7948953268489654,0.793136314845436,0.0017590120035293,0.1280939347409114
ablation,dt_logit_scale,D0,5,weighted,3,0.738968765135076,0.7473101364072372,-0.0083413712721611,0.0978533294257489
ablation,dt_logit_scale,D0,5,weighted,4,0.807181949293051,0.8091961299023895,-0.0020141806093385,0.1675061792783325
ablation,dt_logit_scale,D0,5,weighted_r4only,0,0.7092089497735228,0.6970472600663651,0.0121616897071576,0.1135855407258511
ablation,dt_logit_scale,D0,5,weighted_r4only,1,0.7302898482486984,0.7436062002050413,-0.0133163519563429,0.1367470232983197
ablation,dt_logit_scale,D0,5,weighted_r4only,2,0.7062916766828573,0.710376622338067,-0.0040849456552096,0.1080067348470184
ablation,dt_logit_scale,D0,5,weighted_r4only,3,0.6923087931347784,0.6968328582002642,-0.0045240650654857,0.1217615677753562
ablation,dt_logit_scale,D0,5,weighted_r4only,4,0.751842242013525,0.7507367719894051,0.0011054700241198,0.1903606501869808
ablation,label_flip,D0,3,weighted,0,0.7724114997630154,0.6383193953689588,0.1340921043940566,0.0416954632983306
ablation,label_flip,D0,3,weighted,1,0.7354248623748534,0.625237806341874,0.1101870560329794,0.0646189143212896
ablation,label_flip,D0,3,weighted,2,0.7617916968444074,0.6300191364735255,0.1317725603708819,0.0460214902688491
ablation,label_flip,D0,3,weighted,3,0.7504431200588044,0.6278272674711792,0.1226158525876252,0.0366803660661371
ablation,label_flip,D0,3,weighted,4,0.7608014925168938,0.6327773394826218,0.1280241530342719,0.0639133694267845
ablation,label_flip,D0,3,weighted_r4only,0,0.7573543720804723,0.6226865437143372,0.1346678283661351,0.1034912699820811
ablation,label_flip,D0,3,weighted_r4only,1,0.7079837530544395,0.6092721963280119,0.0987115567264276,0.1394280644030475
ablation,label_flip,D0,3,weighted_r4only,2,0.7447342629296162,0.6194895736533974,0.1252446892762188,0.125818622858534
ablation,label_flip,D0,3,weighted_r4only,3,0.7157771233290355,0.6032516706234808,0.1125254527055547,0.0939068706504652
ablation,label_flip,D0,3,weighted_r4only,4,0.7555297145641036,0.6272118112966292,0.1283179032674744,0.1197986183210575
