Aggregation Algorithm,Total Nodes,Malicious Nodes,Acc,F1,AUC,Total_Time_s,Avg_Agg_Time_s,RSS_KB

Reputation-Based Aggregation,7,3,0.9774,0.9788,0.9987,2.0654,0.0053,702420.0
Simple Average Aggregation,7,3,0.8891,0.904,0.9955,1.9411,0.0046,701804.0
Fed-MAE Aggregation,7,3,0.9718,0.9737,0.9982,1.9151,0.0035,703584.0
median_aggregation,7,3,0.9718,0.9737,0.9982,1.9077,0.004,703172.0
trimmed_mean_aggregation,7,3,0.8891,0.904,0.9955,1.961,0.0038,702184.0
krum_aggregation,7,3,0.968,0.9702,0.9969,1.9194,0.0038,701812.0
multi_krum_aggregation,7,3,0.9568,0.9602,0.9975,1.9755,0.0038,703856.0
bulyan_aggregation,7,3,0.8891,0.904,0.9955,1.9586,0.0039,702720.0

Reputation-Based Aggregation,7,2,0.9798,0.981,0.9988,2.0212,0.0049,700892.0
Simple Average Aggregation,7,2,0.9441,0.9492,0.9972,1.8674,0.0047,702056.0
Fed-MAE Aggregation,7,2,0.9793,0.9806,0.9989,2.2013,0.0036,704204.0
median_aggregation,7,2,0.9793,0.9806,0.9988,1.9821,0.0039,703424.0
trimmed_mean_aggregation,7,2,0.9441,0.9492,0.9972,2.0357,0.0037,701316.0
krum_aggregation,7,2,0.9789,0.9801,0.9984,1.973,0.0037,701820.0
multi_krum_aggregation,7,2,0.9793,0.9806,0.9987,1.9931,0.0039,705372.0
bulyan_aggregation,7,2,0.9441,0.9492,0.9972,1.9491,0.0039,701712.0

Reputation-Based Aggregation,3,0,0.9807,0.9819,0.9988,1.2856,0.0036,697396.0
Simple Average Aggregation,3,0,0.9803,0.9814,0.9989,1.4401,0.0048,698288.0
Fed-MAE Aggregation,3,0,0.9817,0.9828,0.9989,1.3838,0.0034,699732.0
median_aggregation,3,0,0.9807,0.9819,0.999,1.3514,0.0037,699768.0
trimmed_mean_aggregation,3,0,0.9803,0.9814,0.9989,1.3585,0.0034,698660.0
krrum_aggegation,3,0,0.9812,0.9823,0.9987,1.3684,0.0035,697736.0
multi_krum_aggregation,3,0,0.9812,0.9823,0.9984,1.3865,0.0036,699068.0
bulyan_aggregation,3,0,0.9803,0.9814,0.9989,1.2839,0.0035,697428.0

Reputation-Based Aggregation,5,2,0.9793,0.9806,0.9987,1.809,0.0043,699812.0
Simple Average Aggregation,5,2,0.9074,0.9186,0.9956,1.6706,0.0047,699956.0
Fed-MAE Aggregation,5,2,0.9727,0.9745,0.998,1.6795,0.0035,702284.0
median_aggregation,5,2,0.9727,0.9745,0.998,1.6673,0.0039,699220.0
trimmed_mean_aggregation,5,2,0.9074,0.9186,0.9956,1.2094,0.0036,701060.0
krum_aggregation,5,2,0.9756,0.9771,0.9979,1.6174,0.0038,702032.0
multi_krum_aggregation,5,2,0.9765,0.978,0.9984,1.6776,0.0038,699852.0
bulyan_aggregation,5,2,0.9074,0.9186,0.9956,1.6768,0.004,701968.0