attack,level,dt_level,mal_nodes,method,seed,round,w_mal
label_flip,L1,D0,0,weighted,0,1,0.0
label_flip,L1,D0,0,weighted,0,2,0.0
label_flip,L1,D0,0,weighted,0,3,0.0
label_flip,L1,D0,0,weighted,0,4,0.0
label_flip,L1,D0,0,weighted,0,5,0.0
label_flip,L1,D0,0,weighted,0,6,0.0
label_flip,L1,D0,0,weighted,0,7,0.0
label_flip,L1,D0,0,weighted,0,8,0.0
label_flip,L1,D0,0,weighted,0,9,0.0
label_flip,L1,D0,0,weighted,0,10,0.0
label_flip,L1,D0,0,weighted,0,11,0.0
label_flip,L1,D0,0,weighted,0,12,0.0
label_flip,L1,D0,0,weighted,0,13,0.0
label_flip,L1,D0,0,weighted,0,14,0.0
label_flip,L1,D0,0,weighted,0,15,0.0
label_flip,L1,D0,0,weighted,1,1,0.0
label_flip,L1,D0,0,weighted,1,2,0.0
label_flip,L1,D0,0,weighted,1,3,0.0
label_flip,L1,D0,0,weighted,1,4,0.0
label_flip,L1,D0,0,weighted,1,5,0.0
label_flip,L1,D0,0,weighted,1,6,0.0
label_flip,L1,D0,0,weighted,1,7,0.0
label_flip,L1,D0,0,weighted,1,8,0.0
label_flip,L1,D0,0,weighted,1,9,0.0
label_flip,L1,D0,0,weighted,1,10,0.0
label_flip,L1,D0,0,weighted,1,11,0.0
label_flip,L1,D0,0,weighted,1,12,0.0
label_flip,L1,D0,0,weighted,1,13,0.0
label_flip,L1,D0,0,weighted,1,14,0.0
label_flip,L1,D0,0,weighted,1,15,0.0
label_flip,L1,D0,0,weighted,2,1,0.0
label_flip,L1,D0,0,weighted,2,2,0.0
label_flip,L1,D0,0,weighted,2,3,0.0
label_flip,L1,D0,0,weighted,2,4,0.0
label_flip,L1,D0,0,weighted,2,5,0.0
label_flip,L1,D0,0,weighted,2,6,0.0
label_flip,L1,D0,0,weighted,2,7,0.0
label_flip,L1,D0,0,weighted,2,8,0.0
label_flip,L1,D0,0,weighted,2,9,0.0
label_flip,L1,D0,0,weighted,2,10,0.0
label_flip,L1,D0,0,weighted,2,11,0.0
label_flip,L1,D0,0,weighted,2,12,0.0
label_flip,L1,D0,0,weighted,2,13,0.0
label_flip,L1,D0,0,weighted,2,14,0.0
label_flip,L1,D0,0,weighted,2,15,0.0
label_flip,L1,D0,0,weighted,3,1,0.0
label_flip,L1,D0,0,weighted,3,2,0.0
label_flip,L1,D0,0,weighted,3,3,0.0
label_flip,L1,D0,0,weighted,3,4,0.0
label_flip,L1,D0,0,weighted,3,5,0.0
label_flip,L1,D0,0,weighted,3,6,0.0
label_flip,L1,D0,0,weighted,3,7,0.0
label_flip,L1,D0,0,weighted,3,8,0.0
label_flip,L1,D0,0,weighted,3,9,0.0
label_flip,L1,D0,0,weighted,3,10,0.0
label_flip,L1,D0,0,weighted,3,11,0.0
label_flip,L1,D0,0,weighted,3,12,0.0
label_flip,L1,D0,0,weighted,3,13,0.0
label_flip,L1,D0,0,weighted,3,14,0.0
label_flip,L1,D0,0,weighted,3,15,0.0
label_flip,L1,D0,0,weighted,4,1,0.0
label_flip,L1,D0,0,weighted,4,2,0.0
label_flip,L1,D0,0,weighted,4,3,0.0
label_flip,L1,D0,0,weighted,4,4,0.0
label_flip,L1,D0,0,weighted,4,5,0.0
label_flip,L1,D0,0,weighted,4,6,0.0
label_flip,L1,D0,0,weighted,4,7,0.0
label_flip,L1,D0,0,weighted,4,8,0.0
label_flip,L1,D0,0,weighted,4,9,0.0
label_flip,L1,D0,0,weighted,4,10,0.0
label_flip,L1,D0,0,weighted,4,11,0.0
label_flip,L1,D0,0,weighted,4,12,0.0
label_flip,L1,D0,0,weighted,4,13,0.0
label_flip,L1,D0,0,weighted,4,14,0.0
label_flip,L1,D0,0,weighted,4,15,0.0
label_flip,L1,D0,3,weighted,0,1,0.18712926691991819
label_flip,L1,D0,3,weighted,0,2,0.09390164912349654
label_flip,L1,D0,3,weighted,0,3,0.08977818690966112
label_flip,L1,D0,3,weighted,0,4,0.0828545887103243
label_flip,L1,D0,3,weighted,0,5,0.07866867729180156
label_flip,L1,D0,3,weighted,0,6,0.07205668567599342
label_flip,L1,D0,3,weighted,0,7,0.06675562854546925
label_flip,L1,D0,3,weighted,0,8,0.06379737956508633
label_flip,L1,D0,3,weighted,0,9,0.06372222634742603
label_flip,L1,D0,3,weighted,0,10,0.06030040341879797
label_flip,L1,D0,3,weighted,0,11,0.023928658424028994
label_flip,L1,D0,3,weighted,0,12,0.05800699403514252
label_flip,L1,D0,3,weighted,0,13,0.05959810012463307
label_flip,L1,D0,3,weighted,0,14,0.061670955991541286
label_flip,L1,D0,3,weighted,0,15,0.06361405077700039
label_flip,L1,D0,3,weighted,1,1,0.04592956000953221
label_flip,L1,D0,3,weighted,1,2,0.06210584692625813
label_flip,L1,D0,3,weighted,1,3,0.061225457510504844
label_flip,L1,D0,3,weighted,1,4,0.10419905005906113
label_flip,L1,D0,3,weighted,1,5,0.1524956491939372
label_flip,L1,D0,3,weighted,1,6,0.19405731191955358
label_flip,L1,D0,3,weighted,1,7,0.18267269164807484
label_flip,L1,D0,3,weighted,1,8,0.10274871472524882
label_flip,L1,D0,3,weighted,1,9,0.06598254764559716
label_flip,L1,D0,3,weighted,1,10,0.06791557605929278
label_flip,L1,D0,3,weighted,1,11,0.06130567614719098
label_flip,L1,D0,3,weighted,1,12,0.04492264570359154
label_flip,L1,D0,3,weighted,1,13,0.06801892091851687
label_flip,L1,D0,3,weighted,1,14,0.023879473988503756
label_flip,L1,D0,3,weighted,1,15,0.0433499157547314
label_flip,L1,D0,3,weighted,2,1,0.08107219380919202
label_flip,L1,D0,3,weighted,2,2,0.0727482704987101
label_flip,L1,D0,3,weighted,2,3,0.11740698458578044
label_flip,L1,D0,3,weighted,2,4,0.10726652470844053
label_flip,L1,D0,3,weighted,2,5,0.09323550265910094
label_flip,L1,D0,3,weighted,2,6,0.08337495943346879
label_flip,L1,D0,3,weighted,2,7,0.06936922520631711
label_flip,L1,D0,3,weighted,2,8,0.07611223127361089
label_flip,L1,D0,3,weighted,2,9,0.06179700196151222
label_flip,L1,D0,3,weighted,2,10,0.00766878330950143
label_flip,L1,D0,3,weighted,2,11,0.008730061557757827
label_flip,L1,D0,3,weighted,2,12,0.0057673994516117865
label_flip,L1,D0,3,weighted,2,13,0.005436719781228734
label_flip,L1,D0,3,weighted,2,14,0.000922717808508145
label_flip,L1,D0,3,weighted,2,15,0.0025744859956114
label_flip,L1,D0,3,weighted,3,1,0.07001460818053114
label_flip,L1,D0,3,weighted,3,2,0.0857233206394951
label_flip,L1,D0,3,weighted,3,3,0.07064950844308071
label_flip,L1,D0,3,weighted,3,4,0.06808941506715854
label_flip,L1,D0,3,weighted,3,5,0.06195807857768735
label_flip,L1,D0,3,weighted,3,6,0.0662112518214463
label_flip,L1,D0,3,weighted,3,7,0.07198685224734597
label_flip,L1,D0,3,weighted,3,8,0.06692477016054009
label_flip,L1,D0,3,weighted,3,9,0.0669004972688444
label_flip,L1,D0,3,weighted,3,10,0.028394772519475375
label_flip,L1,D0,3,weighted,3,11,0.027554905535140038
label_flip,L1,D0,3,weighted,3,12,0.00744915190323525
label_flip,L1,D0,3,weighted,3,13,0.02471336199682064
label_flip,L1,D0,3,weighted,3,14,0.040332592398813254
label_flip,L1,D0,3,weighted,3,15,0.038969438168383205
label_flip,L1,D0,3,weighted,4,1,0.0939464317874439
label_flip,L1,D0,3,weighted,4,2,0.0570214649727026
label_flip,L1,D0,3,weighted,4,3,0.14902907364398937
label_flip,L1,D0,3,weighted,4,4,0.11475589640717898
label_flip,L1,D0,3,weighted,4,5,0.08105996758325712
label_flip,L1,D0,3,weighted,4,6,0.06655126424728157
label_flip,L1,D0,3,weighted,4,7,0.054067873253946484
label_flip,L1,D0,3,weighted,4,8,0.052822098847473645
label_flip,L1,D0,3,weighted,4,9,0.04778441446895238
label_flip,L1,D0,3,weighted,4,10,0.03251133934419541
label_flip,L1,D0,3,weighted,4,11,0.018224449911164536
label_flip,L1,D0,3,weighted,4,12,0.01801683833324075
label_flip,L1,D0,3,weighted,4,13,0.018438342094001695
label_flip,L1,D0,3,weighted,4,14,0.021558413320275648
label_flip,L1,D0,3,weighted,4,15,0.056946001580758465
label_flip,L1,D0,5,weighted,0,1,0.36770689140659535
label_flip,L1,D0,5,weighted,0,2,0.2271539801574541
label_flip,L1,D0,5,weighted,0,3,0.17941885416929845
label_flip,L1,D0,5,weighted,0,4,0.1382576263925646
label_flip,L1,D0,5,weighted,0,5,0.12097066943172997
label_flip,L1,D0,5,weighted,0,6,0.1230833994754101
label_flip,L1,D0,5,weighted,0,7,0.12075205468471564
label_flip,L1,D0,5,weighted,0,8,0.12023546237526485
label_flip,L1,D0,5,weighted,0,9,0.11387952775236218
label_flip,L1,D0,5,weighted,0,10,0.1113478908213321
label_flip,L1,D0,5,weighted,0,11,0.10482958349408587
label_flip,L1,D0,5,weighted,0,12,0.08857382158104662
label_flip,L1,D0,5,weighted,0,13,0.051017065968057
label_flip,L1,D0,5,weighted,0,14,0.08205721945336673
label_flip,L1,D0,5,weighted,0,15,0.08051616342157336
label_flip,L1,D0,5,weighted,1,1,0.10044993572265301
label_flip,L1,D0,5,weighted,1,2,0.11939713378999958
label_flip,L1,D0,5,weighted,1,3,0.13917802851803865
label_flip,L1,D0,5,weighted,1,4,0.1699594505381596
label_flip,L1,D0,5,weighted,1,5,0.15832146096896618
label_flip,L1,D0,5,weighted,1,6,0.19671432120263263
label_flip,L1,D0,5,weighted,1,7,0.15059999965424656
label_flip,L1,D0,5,weighted,1,8,0.2840727313555335
label_flip,L1,D0,5,weighted,1,9,0.4073124609995922
label_flip,L1,D0,5,weighted,1,10,0.3909513411390245
label_flip,L1,D0,5,weighted,1,11,0.3615313212779115
label_flip,L1,D0,5,weighted,1,12,0.18050530228566808
label_flip,L1,D0,5,weighted,1,13,0.26214800118935067
label_flip,L1,D0,5,weighted,1,14,0.13060508312309754
label_flip,L1,D0,5,weighted,1,15,0.08534192539500755
label_flip,L1,D0,5,weighted,2,1,0.24246543279875332
label_flip,L1,D0,5,weighted,2,2,0.14415650494166715
label_flip,L1,D0,5,weighted,2,3,0.13998768641141743
label_flip,L1,D0,5,weighted,2,4,0.2301563629344513
label_flip,L1,D0,5,weighted,2,5,0.17583415514337547
label_flip,L1,D0,5,weighted,2,6,0.14670406960197216
label_flip,L1,D0,5,weighted,2,7,0.13778636038760292
label_flip,L1,D0,5,weighted,2,8,0.13697495555972883
label_flip,L1,D0,5,weighted,2,9,0.13514350415116608
label_flip,L1,D0,5,weighted,2,10,0.08734103383973706
label_flip,L1,D0,5,weighted,2,11,0.08990427319699623
label_flip,L1,D0,5,weighted,2,12,0.06585542827605931
label_flip,L1,D0,5,weighted,2,13,0.0643810209523737
label_flip,L1,D0,5,weighted,2,14,0.03636653336543016
label_flip,L1,D0,5,weighted,2,15,0.04223291445289697
label_flip,L1,D0,5,weighted,3,1,0.16619023603786964
label_flip,L1,D0,5,weighted,3,2,0.15727383171174436
label_flip,L1,D0,5,weighted,3,3,0.12797650872026914
label_flip,L1,D0,5,weighted,3,4,0.10545270168187058
label_flip,L1,D0,5,weighted,3,5,0.10539455904852661
label_flip,L1,D0,5,weighted,3,6,0.12018264177806001
label_flip,L1,D0,5,weighted,3,7,0.11469956472490829
label_flip,L1,D0,5,weighted,3,8,0.11181479450785115
label_flip,L1,D0,5,weighted,3,9,0.11122520245596738
label_flip,L1,D0,5,weighted,3,10,0.11314726674279238
label_flip,L1,D0,5,weighted,3,11,0.10385152484322552
label_flip,L1,D0,5,weighted,3,12,0.0495346932740237
label_flip,L1,D0,5,weighted,3,13,0.05424535431064461
label_flip,L1,D0,5,weighted,3,14,0.05447871316131707
label_flip,L1,D0,5,weighted,3,15,0.09204789776134654
label_flip,L1,D0,5,weighted,4,1,0.190977098133513
label_flip,L1,D0,5,weighted,4,2,0.21627584678665585
label_flip,L1,D0,5,weighted,4,3,0.17391138789617375
label_flip,L1,D0,5,weighted,4,4,0.38486801276519395
label_flip,L1,D0,5,weighted,4,5,0.2675629576728273
label_flip,L1,D0,5,weighted,4,6,0.24329210128613757
label_flip,L1,D0,5,weighted,4,7,0.14070044860221903
label_flip,L1,D0,5,weighted,4,8,0.11210444334785691
label_flip,L1,D0,5,weighted,4,9,0.1009886665399719
label_flip,L1,D0,5,weighted,4,10,0.09674054742055625
label_flip,L1,D0,5,weighted,4,11,0.09050889451432101
label_flip,L1,D0,5,weighted,4,12,0.08447700971633572
label_flip,L1,D0,5,weighted,4,13,0.060897701480963996
label_flip,L1,D0,5,weighted,4,14,0.07793450912697894
label_flip,L1,D0,5,weighted,4,15,0.08276398826468953
stealth_amp,,D0,0,weighted,0,1,0.0
stealth_amp,,D0,0,weighted,0,2,0.0
stealth_amp,,D0,0,weighted,0,3,0.0
stealth_amp,,D0,0,weighted,0,4,0.0
stealth_amp,,D0,0,weighted,0,5,0.0
stealth_amp,,D0,0,weighted,0,6,0.0
stealth_amp,,D0,0,weighted,0,7,0.0
stealth_amp,,D0,0,weighted,0,8,0.0
stealth_amp,,D0,0,weighted,0,9,0.0
stealth_amp,,D0,0,weighted,0,10,0.0
stealth_amp,,D0,0,weighted,0,11,0.0
stealth_amp,,D0,0,weighted,0,12,0.0
stealth_amp,,D0,0,weighted,0,13,0.0
stealth_amp,,D0,0,weighted,0,14,0.0
stealth_amp,,D0,0,weighted,0,15,0.0
stealth_amp,,D0,0,weighted,1,1,0.0
stealth_amp,,D0,0,weighted,1,2,0.0
stealth_amp,,D0,0,weighted,1,3,0.0
stealth_amp,,D0,0,weighted,1,4,0.0
stealth_amp,,D0,0,weighted,1,5,0.0
stealth_amp,,D0,0,weighted,1,6,0.0
stealth_amp,,D0,0,weighted,1,7,0.0
stealth_amp,,D0,0,weighted,1,8,0.0
stealth_amp,,D0,0,weighted,1,9,0.0
stealth_amp,,D0,0,weighted,1,10,0.0
stealth_amp,,D0,0,weighted,1,11,0.0
stealth_amp,,D0,0,weighted,1,12,0.0
stealth_amp,,D0,0,weighted,1,13,0.0
stealth_amp,,D0,0,weighted,1,14,0.0
stealth_amp,,D0,0,weighted,1,15,0.0
stealth_amp,,D0,0,weighted,2,1,0.0
stealth_amp,,D0,0,weighted,2,2,0.0
stealth_amp,,D0,0,weighted,2,3,0.0
stealth_amp,,D0,0,weighted,2,4,0.0
stealth_amp,,D0,0,weighted,2,5,0.0
stealth_amp,,D0,0,weighted,2,6,0.0
stealth_amp,,D0,0,weighted,2,7,0.0
stealth_amp,,D0,0,weighted,2,8,0.0
stealth_amp,,D0,0,weighted,2,9,0.0
stealth_amp,,D0,0,weighted,2,10,0.0
stealth_amp,,D0,0,weighted,2,11,0.0
stealth_amp,,D0,0,weighted,2,12,0.0
stealth_amp,,D0,0,weighted,2,13,0.0
stealth_amp,,D0,0,weighted,2,14,0.0
stealth_amp,,D0,0,weighted,2,15,0.0
stealth_amp,,D0,0,weighted,3,1,0.0
stealth_amp,,D0,0,weighted,3,2,0.0
stealth_amp,,D0,0,weighted,3,3,0.0
stealth_amp,,D0,0,weighted,3,4,0.0
stealth_amp,,D0,0,weighted,3,5,0.0
stealth_amp,,D0,0,weighted,3,6,0.0
stealth_amp,,D0,0,weighted,3,7,0.0
stealth_amp,,D0,0,weighted,3,8,0.0
stealth_amp,,D0,0,weighted,3,9,0.0
stealth_amp,,D0,0,weighted,3,10,0.0
stealth_amp,,D0,0,weighted,3,11,0.0
stealth_amp,,D0,0,weighted,3,12,0.0
stealth_amp,,D0,0,weighted,3,13,0.0
stealth_amp,,D0,0,weighted,3,14,0.0
stealth_amp,,D0,0,weighted,3,15,0.0
stealth_amp,,D0,0,weighted,4,1,0.0
stealth_amp,,D0,0,weighted,4,2,0.0
stealth_amp,,D0,0,weighted,4,3,0.0
stealth_amp,,D0,0,weighted,4,4,0.0
stealth_amp,,D0,0,weighted,4,5,0.0
stealth_amp,,D0,0,weighted,4,6,0.0
stealth_amp,,D0,0,weighted,4,7,0.0
stealth_amp,,D0,0,weighted,4,8,0.0
stealth_amp,,D0,0,weighted,4,9,0.0
stealth_amp,,D0,0,weighted,4,10,0.0
stealth_amp,,D0,0,weighted,4,11,0.0
stealth_amp,,D0,0,weighted,4,12,0.0
stealth_amp,,D0,0,weighted,4,13,0.0
stealth_amp,,D0,0,weighted,4,14,0.0
stealth_amp,,D0,0,weighted,4,15,0.0
stealth_amp,,D0,3,weighted,0,1,0.18713781644804048
stealth_amp,,D0,3,weighted,0,2,0.002858181063105255
stealth_amp,,D0,3,weighted,0,3,0.0003417808995786751
stealth_amp,,D0,3,weighted,0,4,2.9256399822244497e-08
stealth_amp,,D0,3,weighted,0,5,8.574295141223367e-08
stealth_amp,,D0,3,weighted,0,6,2.9585005724838553e-08
stealth_amp,,D0,3,weighted,0,7,8.276666274948808e-09
stealth_amp,,D0,3,weighted,0,8,4.678732490306413e-10
stealth_amp,,D0,3,weighted,0,9,3.3318942847601926e-09
stealth_amp,,D0,3,weighted,0,10,2.317832725416928e-10
stealth_amp,,D0,3,weighted,0,11,3.68461148641747e-10
stealth_amp,,D0,3,weighted,0,12,1.3549910285535096e-10
stealth_amp,,D0,3,weighted,0,13,4.147422388372599e-11
stealth_amp,,D0,3,weighted,0,14,1.4032993787209368e-10
stealth_amp,,D0,3,weighted,0,15,1.954254274227527e-10
stealth_amp,,D0,3,weighted,1,1,0.3267038160091861
stealth_amp,,D0,3,weighted,1,2,0.0039099969534227945
stealth_amp,,D0,3,weighted,1,3,0.00032105502466483267
stealth_amp,,D0,3,weighted,1,4,6.469536100937243e-07
stealth_amp,,D0,3,weighted,1,5,3.074803550406459e-08
stealth_amp,,D0,3,weighted,1,6,2.1931172688379104e-07
stealth_amp,,D0,3,weighted,1,7,1.3601787228434539e-08
stealth_amp,,D0,3,weighted,1,8,1.6795685946938147e-08
stealth_amp,,D0,3,weighted,1,9,1.9972454722072837e-09
stealth_amp,,D0,3,weighted,1,10,2.7703165933708244e-08
stealth_amp,,D0,3,weighted,1,11,1.9859229196165706e-09
stealth_amp,,D0,3,weighted,1,12,3.232742134798953e-10
stealth_amp,,D0,3,weighted,1,13,4.736504685013029e-10
stealth_amp,,D0,3,weighted,1,14,6.097991432997409e-11
stealth_amp,,D0,3,weighted,1,15,1.5292006092948547e-10
stealth_amp,,D0,3,weighted,2,1,0.20922029458808783
stealth_amp,,D0,3,weighted,2,2,0.001263968822992759
stealth_amp,,D0,3,weighted,2,3,1.1581369668425524e-06
stealth_amp,,D0,3,weighted,2,4,1.4106815185489925e-06
stealth_amp,,D0,3,weighted,2,5,6.974148982904471e-08
stealth_amp,,D0,3,weighted,2,6,1.2161041811063344e-08
stealth_amp,,D0,3,weighted,2,7,1.3663446081616115e-06
stealth_amp,,D0,3,weighted,2,8,1.1098179583862618e-09
stealth_amp,,D0,3,weighted,2,9,4.2724530217191733e-10
stealth_amp,,D0,3,weighted,2,10,4.836736434001594e-10
stealth_amp,,D0,3,weighted,2,11,2.868305283697279e-10
stealth_amp,,D0,3,weighted,2,12,1.4326757104755817e-10
stealth_amp,,D0,3,weighted,2,13,6.642216582331704e-11
stealth_amp,,D0,3,weighted,2,14,1.2638522748523028e-10
stealth_amp,,D0,3,weighted,2,15,6.826466704010275e-11
stealth_amp,,D0,3,weighted,3,1,0.1747264246072415
stealth_amp,,D0,3,weighted,3,2,0.020287844106217222
stealth_amp,,D0,3,weighted,3,3,1.4696488895302442e-05
stealth_amp,,D0,3,weighted,3,4,1.8155015463481395e-05
stealth_amp,,D0,3,weighted,3,5,9.098655360597188e-08
stealth_amp,,D0,3,weighted,3,6,1.327863272162318e-08
stealth_amp,,D0,3,weighted,3,7,1.1040625631098779e-08
stealth_amp,,D0,3,weighted,3,8,3.1076843583446744e-09
